language,year,coldwar,utopia,eden,amen,sandwich,whiskey,disco,jazz
English,1975,2.42E-06,5.83E-07,2.49E-08,3.12E-07,2.30E-06,1.79E-06,1.33E-07,3.54E-06
English,1976,2.38E-06,6.00E-07,2.50E-08,3.13E-07,2.27E-06,1.72E-06,1.72E-07,3.64E-06
English,1977,2.25E-06,5.96E-07,2.45E-08,3.08E-07,2.26E-06,1.70E-06,2.65E-07,3.91E-06
English,1978,2.13E-06,5.98E-07,2.40E-08,3.08E-07,2.26E-06,1.70E-06,4.19E-07,4.08E-06
English,1979,2.00E-06,5.79E-07,2.50E-08,3.05E-07,2.26E-06,1.70E-06,5.62E-07,4.32E-06
English,1980,1.87E-06,5.78E-07,2.52E-08,3.01E-07,2.27E-06,1.69E-06,6.49E-07,4.39E-06
English,1981,1.77E-06,5.89E-07,2.43E-08,2.88E-07,2.30E-06,1.73E-06,7.25E-07,4.52E-06
English,1982,1.70E-06,5.96E-07,2.44E-08,2.79E-07,2.35E-06,1.74E-06,7.87E-07,4.66E-06
English,1983,1.63E-06,6.12E-07,2.43E-08,2.72E-07,2.37E-06,1.76E-06,8.33E-07,4.78E-06
English,1984,1.56E-06,6.05E-07,2.44E-08,2.69E-07,2.41E-06,1.77E-06,8.26E-07,4.69E-06
English,1985,1.51E-06,6.08E-07,2.51E-08,2.65E-07,2.48E-06,1.77E-06,7.58E-07,4.79E-06
English,1986,1.49E-06,6.22E-07,2.39E-08,2.64E-07,2.55E-06,1.78E-06,7.10E-07,4.84E-06
English,1987,1.48E-06,6.43E-07,2.33E-08,2.68E-07,2.59E-06,1.80E-06,7.08E-07,5.12E-06
English,1988,1.47E-06,6.63E-07,2.41E-08,2.72E-07,2.63E-06,1.81E-06,7.17E-07,5.30E-06
English,1989,1.40E-06,6.95E-07,2.43E-08,2.74E-07,2.68E-06,1.84E-06,7.21E-07,5.32E-06
English,1990,1.32E-06,7.24E-07,2.42E-08,2.74E-07,2.77E-06,1.88E-06,7.31E-07,5.47E-06
English,1991,1.28E-06,7.61E-07,2.42E-08,2.74E-07,2.82E-06,1.93E-06,7.48E-07,5.82E-06
English,1992,1.18E-06,7.94E-07,2.43E-08,2.77E-07,2.85E-06,1.98E-06,7.58E-07,6.00E-06
English,1993,1.09E-06,8.27E-07,2.41E-08,2.79E-07,2.90E-06,2.01E-06,7.62E-07,6.18E-06
English,1994,9.94E-07,8.57E-07,2.44E-08,2.78E-07,2.95E-06,2.04E-06,7.85E-07,6.33E-06
English,1995,8.65E-07,8.93E-07,2.47E-08,2.85E-07,3.00E-06,2.08E-06,7.95E-07,6.54E-06
English,1996,8.15E-07,9.11E-07,2.48E-08,2.89E-07,3.06E-06,2.12E-06,8.19E-07,6.84E-06
English,1997,7.91E-07,9.21E-07,2.57E-08,3.00E-07,3.10E-06,2.16E-06,8.43E-07,7.27E-06
English,1998,7.29E-07,9.70E-07,2.69E-08,3.08E-07,3.14E-06,2.21E-06,8.68E-07,7.56E-06
English,1999,7.12E-07,1.03E-06,2.78E-08,3.18E-07,3.26E-06,2.29E-06,8.98E-07,7.91E-06
English,2000, 6.818106896844256e-07];,1.07E-06,2.91E-08,3.36E-07,3.37E-06,2.37E-06,9.29E-07,8.35E-06
English,2001,,1.11E-06,2.94E-08,3.40E-07,3.48E-06,2.46E-06,9.47E-07,8.73E-06
English,2002,,1.13E-06,2.97E-08,3.51E-07,3.61E-06,2.53E-06,9.78E-07,8.80E-06
English,2003,,1.15E-06,3.00E-08,3.63E-07,3.74E-06,2.61E-06,9.93E-07,9.11E-06
English,2004,,1.20E-06,3.09E-08,3.79E-07,3.90E-06,2.68E-06,1.01E-06,9.03E-06
English,2005,,1.21E-06,3.21E-08,3.94E-07,4.06E-06,2.75E-06,1.02E-06,8.91E-06
English,2006,,1.23E-06,3.40E-08,4.09E-07,4.19E-06,2.81E-06,1.02E-06,8.74E-06
English,2007,,1.24E-06,3.52E-08,4.13E-07,4.31E-06,2.89E-06,1.01E-06,8.39E-06
English,2008,,1.26E-06,4.43E-08,4.39E-07,4.56E-06,3.06E-06,1.03E-06,7.97E-06
English,2009,,1.28E-06,5.33E-08,4.66E-07,4.83E-06,3.22E-06,1.05E-06,7.79E-06
English,2010,,1.30E-06,6.15E-08,5.01E-07,5.29E-06,3.44E-06,1.08E-06,7.41E-06
English,2011,,1.30E-06,7.02E-08,5.21E-07,5.66E-06,3.59E-06,1.07E-06,7.09E-06
English,2012,,1.35E-06,7.51E-08,5.55E-07,5.98E-06,3.74E-06,1.06E-06,6.83E-06
English,2013,,1.37E-06,8.18E-08,5.84E-07,6.40E-06,4.03E-06,1.08E-06,6.58E-06
English,2014,,1.42E-06,8.87E-08,6.08E-07,6.75E-06,4.26E-06,1.10E-06,6.37E-06
English,2015,,1.51E-06,8.80E-08,6.16E-07,6.90E-06,4.36E-06,1.09E-06,6.29E-06
English,2016,,1.57E-06,9.65E-08,6.27E-07,6.99E-06,4.47E-06,1.04E-06,6.16E-06
English,2017,,1.58E-06,1.45E-07,6.81E-07,6.79E-06,4.51E-06,9.84E-07,5.85E-06
English,2018,,1.63E-06,1.42E-07,6.84E-07,6.67E-06,4.60E-06,9.57E-07,5.79E-06
English,2019,,1.65E-06,1.53E-07,6.85E-07,6.69E-06,4.71E-06,9.55E-07,5.72E-06
English,2020,,1.67E-06,1.66E-07,6.89E-07,6.50E-06,4.62E-06,9.23E-07,5.68E-06
English,2021,, 1.6877831114925357e-06]}, 1.8544755242544397e-07]}, 7.104544010871905e-07]}, 6.3373511238751234e-06]}, 4.558572982205078e-06]}, 8.859508398018079e-07]}, 5.667878440362983e-06]}]
Chinese,1900,1.18E-08,5.90E-08,0,0,0,0,2.36E-08,0
Chinese,1901,1.18E-08,5.90E-08,0,0,0,0,2.36E-08,0
Chinese,1902,1.18E-08,5.90E-08,0,0,0,0,2.36E-08,0
Chinese,1903,1.18E-08,5.90E-08,0,0,0,0,2.36E-08,0
Chinese,1904,1.18E-08,5.90E-08,0,0,0,0,2.36E-08,0
Chinese,1905,0.00E+00,0,0,0,0,0,0,0
Chinese,1906,0.00E+00,0,0,0,0,0,0,0
Chinese,1907,0.00E+00,0,0,0,0,0,0,0
Chinese,1908,0.00E+00,0,0,0,0,0,0,0
Chinese,1909,0.00E+00,0,0,0,0,0,0,0
Chinese,1910,0.00E+00,0,0,0,0,0,0,0
Chinese,1911,0.00E+00,0,0,0,0,0,0,0
Chinese,1912,0.00E+00,0,0,0,0,0,0,0
Chinese,1913,0.00E+00,0,0,0,0,0,0,0
Chinese,1914,0.00E+00,0,0,0,0,0,0,0
Chinese,1915,0.00E+00,0,0,0,0,0,0,0
Chinese,1916,0.00E+00,0,0,0,0,0,0,0
Chinese,1917,0.00E+00,0,0,0,0,0,0,0
Chinese,1918,0.00E+00,0,0,0,0,0,0,0
Chinese,1919,0.00E+00,0,0,0,0,0,0,0
Chinese,1920,0.00E+00,0,0,0,0,0,0,0
Chinese,1921,0.00E+00,0,0,0,0,0,0,0
Chinese,1922,0.00E+00,0,0,0,0,0,0,0
Chinese,1923,0.00E+00,0,0,0,0,0,0,0
Chinese,1924,0.00E+00,0,0,0,0,0,0,0
Chinese,1925,0.00E+00,0,0,0,0,0,0,0
Chinese,1926,0.00E+00,0,0,0,0,0,0,0
Chinese,1927,0.00E+00,0,0,0,0,0,0,0
Chinese,1928,0.00E+00,0,0,0,0,0,0,0
Chinese,1929,0.00E+00,0,0,0,0,0,0,0
Chinese,1930,0.00E+00,0,0,0,0,0,0,0
Chinese,1931,0.00E+00,0,0,0,0,0,0,0
Chinese,1932,0.00E+00,0,0,0,0,0,0,0
Chinese,1933,0.00E+00,0,0,0,0,0,0,0
Chinese,1934,1.26E-05,0,0,0,0,0,0,0
Chinese,1935,1.26E-05,0,0,0,0,0,0,0
Chinese,1936,1.26E-05,0,0,0,0,0,0,0
Chinese,1937,1.72E-05,0,0,0,0,0,0,0
Chinese,1938,1.72E-05,0,0,0,0,0,0,0
Chinese,1939,1.72E-05,0,0,0,0,0,0,0
Chinese,1940,1.72E-05,0,0,0,0,0,0,0
Chinese,1941,4.61E-06,0,0,0,0,0,0,0
Chinese,1942,4.61E-06,0,0,0,0,0,0,0
Chinese,1943,4.61E-06,0,0,0,0,0,0,0
Chinese,1944,0.00E+00,0,0,0,0,0,0,0
Chinese,1945,0.00E+00,0,0,0,0,0,0,0
Chinese,1946,0.00E+00,0,0,0,0,0,0,0
Chinese,1947,4.83E-07,0,0,0,0,0,0,0
Chinese,1948,4.83E-07,0,0,0,0,0,0,0
Chinese,1949,4.83E-07,0,0,0,0,0,0,0
Chinese,1950,4.83E-07,0,0,0,0,0,0,0
Chinese,1951,4.83E-07,5.12E-07,0,0,0,0,0,0
Chinese,1952,4.83E-07,5.12E-07,0,0,0,0,0,0
Chinese,1953,1.17E-06,5.12E-07,0,0,0,0,0,0
Chinese,1954,9.26E-07,9.56E-07,1.00E-07,2.07E-08,0,7.15E-09,4.29E-08,7.15E-09
Chinese,1955,2.22E-06,9.56E-07,1.00E-07,2.07E-08,0,7.15E-09,4.29E-08,7.15E-09
Chinese,1956,3.64E-06,1.09E-06,1.00E-07,2.07E-08,0,7.15E-09,4.29E-08,7.15E-09
Chinese,1957,5.29E-06,1.15E-06,1.00E-07,2.07E-08,0,7.15E-09,5.13E-08,7.15E-09
Chinese,1958,6.95E-06,6.35E-07,1.00E-07,2.07E-08,0,7.15E-09,5.13E-08,7.15E-09
Chinese,1959,8.26E-06,6.35E-07,1.00E-07,2.07E-08,0,7.15E-09,5.13E-08,7.15E-09
Chinese,1960,7.99E-06,7.40E-07,1.00E-07,2.07E-08,0,7.15E-09,5.13E-08,7.15E-09
